TreeGrOSS Exchange Data : by BWINPro
95650200 6H
1993;Jahr
0.19;Flaechengroesse ha
4;Anzahl Eckpunkte
No;x;y;z;
ECK1 ;60.22;18.29;0.00
ECK2 ;30.89;0.00;0.00
ECK3 ;0.00;40.93;0.00
ECK4 ;34.58;60.20;0.00
Code;N;No;Age;DBH;Height;Site index;Crown Base;Crown width;alive;Removal Code;x-Coord.;y-Coord.;z-Coord.;Crop tree;
211;1;325;41;14.90;14.11;-9.00;6.25;4.02;-1;0;17.33;24.00;0.00;0;
211;1;327;41;5.00;9.72;-9.00;4.67;1.43;-1;0;16.04;24.00;0.00;0;
211;1;328;41;11.10;13.08;-9.00;5.96;3.24;-1;0;15.75;24.00;0.00;0;
211;1;329;41;4.10;7.83;-9.00;3.60;1.10;-1;0;15.66;24.00;0.00;0;
211;1;330;41;7.10;8.20;-9.00;3.45;2.14;-1;0;14.50;23.00;0.00;0;
211;1;331;41;10.80;12.31;-9.00;5.54;3.17;-1;0;12.68;26.00;0.00;0;
211;1;332;41;10.10;12.39;-9.00;5.65;2.99;-1;0;12.16;26.00;0.00;0;
211;1;333;41;14.20;11.78;-9.00;5.01;3.89;-1;0;12.64;27.00;0.00;0;
211;1;335;41;11.10;13.35;-9.00;6.12;3.24;-1;0;15.49;25.00;0.00;0;
211;1;336;41;6.50;14.05;-9.00;7.26;1.94;-1;0;15.57;28.00;0.00;0;
211;1;337;41;7.80;10.80;-9.00;4.94;2.36;-1;0;14.25;30.00;0.00;0;
211;1;338;41;9.10;10.39;-9.00;4.56;2.73;-1;0;12.03;28.00;0.00;0;
211;1;339;41;5.90;12.46;-9.00;6.32;1.74;-1;0;11.21;27.00;0.00;0;
211;1;341;41;10.70;13.64;-9.00;6.33;3.14;-1;0;9.92;34.00;0.00;0;
211;1;342;41;5.80;9.22;-9.00;4.21;1.71;-1;0;9.44;34.00;0.00;0;
211;1;344;41;5.00;9.61;-9.00;4.60;1.43;-1;0;9.37;37.00;0.00;0;
211;1;345;41;7.40;10.58;-9.00;4.84;2.23;-1;0;9.03;37.00;0.00;0;
211;1;346;41;5.10;8.43;-9.00;3.81;1.46;-1;0;8.92;38.00;0.00;0;
211;1;349;41;8.10;12.39;-9.00;5.88;2.45;-1;0;6.42;38.00;0.00;0;
211;1;350;41;12.50;13.12;-9.00;5.86;3.55;-1;0;5.09;38.00;0.00;0;
211;1;351;41;18.20;13.71;-9.00;5.85;4.59;-1;0;4.51;38.00;0.00;0;
211;1;352;41;13.80;12.41;-9.00;5.38;3.81;-1;0;4.75;39.00;0.00;0;
211;1;353;41;9.20;10.46;-9.00;4.59;2.76;-1;0;1.48;41.00;0.00;0;
211;1;354;41;4.50;10.63;-9.00;5.41;1.24;-1;0;2.82;39.00;0.00;0;
211;1;357;41;5.70;12.11;-9.00;6.13;1.67;-1;0;19.84;50.00;0.00;0;
211;1;359;41;8.80;14.10;-9.00;6.86;2.65;-1;0;21.86;47.00;0.00;0;
211;1;361;41;15.10;12.48;-9.00;5.34;4.06;-1;0;22.73;46.00;0.00;0;
211;1;365;41;11.90;12.38;-9.00;5.49;3.42;-1;0;26.57;47.00;0.00;0;
211;1;370;41;10.90;12.18;-9.00;5.45;3.19;-1;0;28.81;42.00;0.00;0;
211;1;373;41;7.60;10.44;-9.00;4.74;2.30;-1;0;29.49;42.00;0.00;0;
211;1;386;41;5.90;9.15;-9.00;4.15;1.74;-1;0;23.61;50.00;0.00;0;
211;1;390;41;5.10;7.09;-9.00;2.97;1.46;-1;0;27.53;55.00;0.00;0;
211;1;398;41;12.80;12.90;-9.00;5.00;3.61;-1;0;47.90;26.00;0.00;0;
211;1;399;41;11.10;11.70;-9.00;4.10;3.24;-1;0;51.98;23.00;0.00;0;
211;1;400;41;9.40;12.60;-9.00;5.40;2.81;-1;0;50.66;28.00;0.00;0;
211;1;401;41;7.40;11.00;-9.00;5.20;2.23;-1;0;50.92;29.00;0.00;0;
211;1;403;41;8.40;11.70;-9.00;5.50;2.53;-1;0;51.71;31.00;0.00;0;
211;1;404;41;5.60;7.86;-9.00;3.39;1.64;-1;0;37.45;45.00;0.00;0;
211;1;405;41;3.80;8.99;-9.00;4.46;0.99;-1;0;37.63;46.00;0.00;0;
211;1;406;41;4.50;11.66;-9.00;6.15;1.24;-1;0;36.18;47.00;0.00;0;
211;1;409;41;6.30;11.61;-9.00;5.67;1.88;-1;0;34.89;52.00;0.00;0;
211;1;410;41;3.80;7.74;-9.00;3.59;0.99;-1;0;35.20;52.00;0.00;0;
211;1;411;41;9.00;10.84;-9.00;4.83;2.70;-1;0;36.68;51.00;0.00;0;
